id,user_id,title,is_company_wide,年,月,日,開始時,開始分,終了時,終了分
1,26,営業推進会議,FALSE,2025,7,10,9,0,11,30
2,22,第７回50周年実行委員会,FALSE,2025,7,10,13,0,15,0
3,25,早﨑税理士事務所さん来社,FALSE,2025,7,10,15,45,17,15
4,16,営業開発推進部会議,FALSE,2025,7,11,10,0,11,30
5,4,制作部 グラフィックチーム・Web第二チーム 会議,FALSE,2025,7,14,10,0,11,0
6,22,LP作成会議,FALSE,2025,7,14,11,0,11,45
7,26,総務管理部打ち合わせ,FALSE,2025,7,14,12,45,13,30
8,12,制作部(web第1)週次定例,FALSE,2025,7,14,14,0,15,0
9,12,NBCI様　定例,FALSE,2025,7,14,15,0,17,0
10,12,動画MTG,FALSE,2025,7,17,13,0,14,0
11,24,取締役会,FALSE,2025,7,18,10,0,11,30
12,16,営業開発推進部会議,FALSE,2025,7,18,12,45,14,0
13,11,MCC様との定例会（オンライン）,FALSE,2025,7,22,10,30,11,30
14,26,総務管理部打ち合わせ,FALSE,2025,7,22,12,45,13,30
15,12,制作部(web第1)週次定例,FALSE,2025,7,22,14,0,15,0
16,12,NBCI様　定例,FALSE,2025,7,22,15,0,17,0
17,25,九鬼産業さん、島商さん来社,FALSE,2025,7,23,10,0,11,0
18,26,業務報告会議,FALSE,2025,7,25,9,0,10,30
19,16,営業開発推進部会議,FALSE,2025,7,25,10,30,11,45
20,4,制作部 グラフィックチーム・Web第二チーム 会議,FALSE,2025,7,28,10,0,11,0
21,26,総務管理部打ち合わせ,FALSE,2025,7,28,12,45,13,30
22,12,制作部(web第1)週次定例,FALSE,2025,7,28,14,0,15,0
23,24,株主総会、取締役会,FALSE,2025,7,29,10,30,12,0
24,12,NBCI様　定例,FALSE,2025,7,31,15,0,17,0
25,24,取締役会,FALSE,2025,8,1,10,0,11,30
26,16,営業開発推進部会議,FALSE,2025,8,1,13,0,14,30
27,4,制作部 グラフィックチーム・Web第二チーム 会議,FALSE,2025,8,4,10,0,11,0
28,26,総務管理部打ち合わせ,FALSE,2025,8,4,12,45,13,30
29,12,制作部(web第1)週次定例,FALSE,2025,8,4,14,0,15,0
30,11,MCC様との定例会（オンライン）,FALSE,2025,8,5,10,30,11,30
31,17,営業開発推進部　会議,FALSE,2025,8,8,10,0,11,15
32,26,営業推進会議,FALSE,2025,8,12,9,0,10,0
33,12,制作部(web第1)週次定例,FALSE,2025,8,12,14,0,15,0
34,4,制作部 グラフィックチーム・Web第二チーム 会議,FALSE,2025,8,18,10,0,11,0
35,26,総務管理部打ち合わせ,FALSE,2025,8,18,12,45,13,30
36,12,制作部(web第1)週次定例,FALSE,2025,8,18,14,0,15,0
37,11,MCC様との定例会（オンライン）,FALSE,2025,8,19,10,30,11,30
38,17,営業開発推進部　会議,FALSE,2025,8,22,10,0,11,15
39,26,業務報告会議,FALSE,2025,8,25,9,0,10,30
40,4,制作部 グラフィックチーム・Web第二チーム 会議,FALSE,2025,8,25,11,0,11,45
41,26,総務管理部打ち合わせ,FALSE,2025,8,25,12,45,13,30
42,12,制作部(web第1)週次定例,FALSE,2025,8,25,14,0,15,0
43,16,営業開発推進部会議,FALSE,2025,8,29,10,0,11,30
44,11,MCC様との定例会（オンライン）,FALSE,2025,9,2,10,30,11,30
