id,user_id,title,description,date,start_datetime,end_datetime,is_company_wide
1,2,週次定例会議,営業部の週次会議,2025-07-15,2025-07-15T10:00:00,2025-07-15T11:00:00,FALSE
2,3,システム設計会議,新システムの設計について,2025-07-15,2025-07-15T14:00:00,2025-07-15T16:00:00,FALSE
3,4,採用面接,中途採用の面接,2025-07-16,2025-07-16T09:00:00,2025-07-16T10:00:00,FALSE
4,5,月次決算会議,7月の決算について,2025-07-16,2025-07-16T15:00:00,2025-07-16T17:00:00,FALSE
5,6,企画提案会議,新商品の企画提案,2025-07-17,2025-07-17T13:00:00,2025-07-17T14:30:00,FALSE
6,7,品質管理会議,製品の品質管理について,2025-07-17,2025-07-17T10:30:00,2025-07-17T12:00:00,FALSE
7,1,全社会議,四半期報告,2025-07-18,2025-07-18T14:00:00,2025-07-18T16:00:00,TRUE
8,8,顧客プレゼン準備,重要顧客向けプレゼンテーション準備,2025-07-19,2025-07-19T09:30:00,2025-07-19T11:00:00,FALSE
9,9,コードレビュー,システム開発のコードレビュー,2025-07-19,2025-07-19T15:00:00,2025-07-19T16:30:00,FALSE
10,10,研修会議,新人研修の計画,2025-07-22,2025-07-22T11:00:00,2025-07-22T12:00:00,FALSE
